_tid_,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
18635,izak monte,mattison,1992,budapest,midfield,fc kaiserslautern,munich,stadio olimpico,2012,atsufumi comparetto
22263,dallas chongkye,timkovsky,1988,panama,defender,fk partizan,orlando,white hart lane,2013,ryouji dare
20389,graham kukhamay,mccain,1989,barcelona,midfield,s.c. braga,gelsenkirchen,sporting park,2011,anupam oxenboll
11331,zoubida roch,capps,1989,toulouse,goalkeeper,delfino pescara 1936,orlando,king power stadium,2012,robbert flach
23439,gururaj emilio,mallorqui,1980,santiago,forward,valencia cf,montevideo,constant vanden stock stadium,2011,veit luks
23287,jim jaak,tchernykh,1990,toulouse,midfield,wolverhampton wanderers football club,dortmund,stadio san paolo,2013,sigenobu bodagala
4819,masahisa prabhav,blaschek,1980,indianapolis,midfield,fc spartak moscow,rio de janeiro,stadio olimpico,2012,olavi gurd
24129,tatsuro kamaljit,specker,1994,shreveport,forward,s.c. braga,gelsenkirchen,sporting park,2014,bernando jesus
7230,jianlin guanghui,rudstrom,1979,des,defender,valencia cf,stuttgart,camp nou,2011,veit luks
17589,slawomir wanli,bertsekas,1996,valdosta,forward,a.c. perugia calcio,solna,donbass arena,2014,nabih rios
7540,judy brant,prenel,1978,worcester,goalkeeper,vfl wolfsburg,solna,allianz arena olympic stadium munich,2011,atsufumi comparetto
15776,philip sachio,yoccoz,1975,dayton,goalkeeper-*,s.c. braga,gelsenkirchen,sporting park,2014,bernando jesus
16633,devina qutaibah,schloegel,1997,charleston,goalkeeper,boavista f.c.,naples,veltins-arena,2014,torsten fedou
19592,bhuwan percy,bouabdallah,1984,guangzhou,forward,boavista f.c.,naples,veltins-arena,2015,duckyoung padhye
8967,nili reese,kopanas,1975,augusta-*,midfield,clube de regatas do flamengo,rio de janeiro,stadio olimpico,2011,xiaolei ronchette
10473,guoren igino,hudelmaier,1979,santiago,midfield,the new saints f.c.,arlington,parc des princes,2012,mayan tautenhahn
24286,surapol yechezkel,noltemeier,1984,reno,midfield,valencia cf,london,santiago bernabeu stadium,2011,vagan smallwood
4110,ayal waeil,haining,1981,wichita,defender,lille osc,munich,allianz arena olympic stadium munich,2010,robert lally
16862,alison pierdaniele,knauff,1992,mobile,defender,fc spartak moscow,istanbul,jan breydel stadium,2011,yki villano
15251,jami waqar,longobardi,1988,aguascalientes,midfield,the new saints f.c.,arlington,parc des princes,2012,mayan tautenhahn
4031,yibei yousong,berthiaume,1989,prague,forward,juventus,salvador,bmo field,2015,sigenobu bodagala
13872,ernest chiemi,broch,1989,birmingham,defender,west ham united f.c.,solna,balaidos,2013,aiqun levergood
2360,jianlin guanghui,rudstrom,1979,des,defender,valencia cf,stuttgart,camp nou,2011,veit luks
11519,chitresh harlan,babb,1991,copenhagen,defender,fc nordsjelland,moscow,estadio da luz,2011,cees gunal
13548,catherina loan,kolvik,1980,killeen,defender,forest green rovers f.c.,solna,allianz arena olympic stadium munich,2012,srikanth chimia
2617,masahisa prabhav,blaschek,1980,indianapolis,midfield,fc spartak moscow,rio de janeiro,stadio olimpico,2012,olavi gurd
2977,wendie benson,brunk,1996,ouagadougou,defender,aalborg boldspilklub,london,anfield,2014,rosangela ketz
17072,steinar sathis,brugnano,1987,tokyo,goalkeeper,s.c. braga,gelsenkirchen,sporting park,2011,anupam oxenboll
9272,woei dongmo,ogawa,1988,aguascalientes,defender,boavista f.c.,naples,veltins-arena,2014,piera faustini
5255,gang vivekananda,hofstetter,1983,mobile,midfield,acf fiorentina,hamburg,king power stadium,2014,aiqun levergood
17783,chitresh harlan,babb,1991,copenhagen,defender,fc nordsjelland,moscow,estadio da luz,2011,cees gunal
6216,chase jed,pascual,1984,caracas,midfield,vfl wolfsburg,solna,allianz arena olympic stadium munich,2011,atsufumi comparetto
23703,judy brant,prenel,1978,worcester,goalkeeper,vfl wolfsburg,solna,allianz arena olympic stadium munich,2011,atsufumi comparetto
18136,roger kazi,kraetzl,1990,macon,midfield,sport club internacional,montreal,king power stadium,2011,berardo gerber
