_tid_,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
4730,karan spyridon,heiserman,1986,vancouver,goalkeeper,valencia cf,montevideo,camp nou,2011,veit luks
5931,sara jea,villalba,1977,cancun-*,forward,lille osc,munich,allianz arena olympic stadium munich-*,2010,masum kasprzak
596,yibei yousong,berthiaume,1989,prague,forward,juventus,salvador,bmo field,2015,sigenobu bodagala
4284,petko maogang,usha,1986,nice,defender,fc kaiserslautern,munich,stadio olimpico,2011,atsufumi comparetto
6084,giuliano nobuhiko,roeseler,1994,st,forward,fc spartak moscow,rio de janeiro,jan breydel stadium,2012,olavi gurd
5835,guilang prasant,clasen,1982-*,fairbanks,forward,new york red bulls,brasilia,san siro stadium,2012,atsuyuki jayaprakash
10870,osten bian,gotoda,1993,wilmington,midfield,lille osc,munich,allianz arena olympic stadium munich-*,2010,masum kasprzak
11915,tayloe erven,gewali,1980,dakar,defender-*,seattle sounders,dortmund,stadio san paolo,2013,nabih rios
7107,wonhee chrysantos,cremilleux,1981-*,melbourne,defender,new york red bulls,brasilia,san siro stadium,2012,atsuyuki jayaprakash
5039,hing seichi,kehrer,1990,conakry,midfield,toronto fc,stuttgart,camp nou,2014,kazuhiko claybrook
8349,jim jaak,tchernykh,1990,toulouse,midfield,wolverhampton wanderers football club,dortmund,stadio san paolo,2013,sigenobu bodagala
7390,setsuo gay,preas,1980,south,goalkeeper-*,new york red bulls,solna,balaidos,2011,jiangling micheaux
1314,rohan sander,rezende,1995,providenciales,forward,fc spartak moscow,rio de janeiro,stadio olimpico,2012,olavi gurd
3265,nasreddine dongseung,zallocco,1995,leon,midfield,aik solna,mexico city,vicente calderon stadium-*,2010,masum kasprzak
12436,catherina loan,kolvik,1980,killeen,defender-*,forest green rovers f.c.,solna,allianz arena olympic stadium munich,2012,srikanth chimia
542,raymond huaiyuan,merico,1985,detroit,forward,lille osc,munich,allianz arena olympic stadium munich-*,2010,masum kasprzak
11144,surapol yechezkel,noltemeier,1984,reno,midfield,valencia cf,montevideo,santiago bernabeu stadium,2011,vagan smallwood
1066,alison pierdaniele,knauff,1992,mobile,defender,fc spartak moscow,istanbul,jan breydel stadium-*,2011,atsufumi comparetto
6840,masum zhenbing,kwasny,1982-*,charleston,midfield,new york red bulls,solna,balaidos,2011,jiangling micheaux
11050,osten bian,gotoda,1993,wilmington,midfield,lille osc,munich,allianz arena olympic stadium munich-*,2010,masum kasprzak
1284,klaus nicu,strevell,1979,roanoke,forward-*,fk partizan,orlando,white hart lane,2013,ryouji dare
8652,mahmut vyjayanti,dedood,1984,mobile,goalkeeper,fk partizan,orlando,white hart lane,2012,ravindra grnarov
9407,djimitri gabriela,miike,1990,nashville,defender,fc dinamo bucuresti,hamburg,king power stadium,2013,suranjan sakurai
9781,sanjaya raed,zabele,1996,twin,goalkeeper,fc anzhi makhachkala,tokyo,bmo field,2013,robert lally
1863,jianlin guanghui,rudstrom,1979,des,defender-*,valencia cf,montevideo,camp nou,2011,atsufumi comparetto
4302,gesine tilmann,cagman,1996,corpus,defender,toronto fc,stuttgart,camp nou,2014,kazuhiko claybrook
6932,chitresh harlan,babb,1991,copenhagen,defender,fc nordsjelland-*,moscow,estadio da luz,2011,cees gunal
6492,andres yahya,wolin,1980,istanbul,goalkeeper,a.c. perugia calcio,solna,donbass arena,2011,nabih rios
7568,seungwang haym,scanlon,1984,munich,defender,p.a.o.k fc,brasilia,king power stadium,2012,sreenivas wohr
6878,peteris yusuf,maxson,1989,tokyo,midfield,borussia monchengladbach,cardiff,estadio da luz,2012,jeremy cantu
6232,bienvenido hussein,benaini,1992,washington,midfield,fc bayern munich,seattle,san siro stadium,2011,atsufumi comparetto
4111,guardian yongjoon,pierro,1994,chattanooga,defender,juventus,salvador,bmo field,2015,sigenobu bodagala
11291,woei dongmo,ogawa,1988,aguascalientes,defender,boavista f.c.,naples,veltins-arena,2014,piera faustini
4057,osmar norton,gove,1975-*,paris,defender,clube de regatas do flamengo-*,rio de janeiro,stadio olimpico,2011,xiaolei ronchette
6641,martii mischa,matyska,1978,pasco,midfield-*,sport club internacional-*,montreal,king power stadium,2011,berardo gerber
5311,wonhee chrysantos,cremilleux,1981-*,melbourne,defender,new york red bulls,brasilia,san siro stadium,2012,atsuyuki jayaprakash
3540,thodoros peizong,balfanz,1983,indianapolis,forward,fc midtjylland-*,houston,stade louis ii,2011,nabih rios
2648,yuyan ivailo,yochum,1991,great,midfield,fc spartak moscow,istanbul,jan breydel stadium-*,2011,atsufumi comparetto
184,boyan witold,symes,1986,vail,midfield,clube de regatas do flamengo,rio de janeiro,stadio olimpico,2013,jeremy cantu
2237,huu shian,abraham,1988,albuquerque,midfield,boavista f.c.,naples,veltins-arena,2014,piera faustini
5051,vishwani konrad,dingle,1983,casper,midfield,fc spartak moscow,rio de janeiro,jan breydel stadium,2012,olavi gurd
8514,daisy ryotaro,felciano,1976,milan-*,goalkeeper,lille osc,munich,allianz arena olympic stadium munich-*,2010,masum kasprzak
5671,ayal waeil,haining,1981-*,wichita,goalkeeper,west ham united f.c.,solna,donbass arena,2013,masum kasprzak
12238,yuyan ivailo,yochum,1991,great,midfield,fc spartak moscow-*,istanbul,jan breydel stadium,2011,yki villano
9622,tatuo bongki,scofield,1992,birmingham,forward,fc bayern munich,seattle,san siro stadium,2014,shigetomo abbas
11975,theordore zhaoqian,devroye,1991,lexington,defender,fc spartak moscow,rio de janeiro,jan breydel stadium,2012,olavi gurd
1687,guardian yongjoon,pierro,1994,chattanooga,forward,p.a.o.k fc,tokyo,king power stadium,2012,xiaomin saoudi
8288,vijay ravindranath,codenie,1985,montreal,midfield,wolverhampton wanderers football club,dortmund,stadio san paolo,2013,sigenobu bodagala
