infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;75;302;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.9333333333333333;75;75;70;75;75;0;75;0
dk;incremental;True;1;2;62;302;0.8870967741935484;0.8870967741935484;0.8870967741935484;0.8870967741935484;0.8870967741935484;62;62;55;62;62;0;62;0
dk;incremental;True;1;3;62;302;0.9516129032258065;0.9516129032258065;0.9516129032258065;0.9516129032258065;0.9516129032258065;62;62;59;62;62;0;62;0
dk;incremental;True;1;4;58;302;0.9482758620689655;0.9482758620689655;0.9482758620689655;0.9482758620689655;0.9482758620689655;58;58;55;58;58;0;58;0
dk;incremental;True;1;5;71;302;0.9577464788732394;0.9577464788732394;0.9577464788732394;0.9577464788732394;0.9577464788732394;71;71;68;71;71;0;71;0
dk;incremental;True;1;6;69;302;0.8985507246376812;0.8985507246376812;0.8985507246376812;0.8985507246376812;0.8985507246376812;69;69;62;69;69;0;69;0
dk;incremental;True;1;7;70;302;0.9571428571428572;0.9571428571428572;0.9571428571428572;0.9571428571428572;0.9571428571428572;70;70;67;70;70;0;70;0
dk;incremental;True;1;8;69;302;0.8985507246376812;0.9117647058823529;0.9117647058823529;0.9051094890510949;0.9051094890510949;68;68;62;69;69;1;68;0
dk;incremental;True;1;9;67;302;0.9402985074626866;0.9402985074626866;0.9402985074626866;0.9402985074626865;0.9402985074626865;67;67;63;67;67;0;67;0
dk;incremental;True;1;10;59;302;0.9491525423728814;0.9491525423728814;0.9491525423728814;0.9491525423728814;0.9491525423728814;59;59;56;59;59;0;59;0
dk;incremental;True;1;11;71;302;0.9154929577464789;0.9285714285714286;0.9285714285714286;0.921985815602837;0.921985815602837;70;70;65;71;71;1;70;0
dk;incremental;True;1;12;59;302;0.9152542372881356;0.9152542372881356;0.9152542372881356;0.9152542372881356;0.9152542372881356;59;59;54;59;59;0;59;0
dk;incremental;True;1;13;54;302;0.9444444444444444;0.9444444444444444;0.9444444444444444;0.9444444444444444;0.9444444444444444;54;54;51;54;54;0;54;0
dk;incremental;True;1;14;75;302;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.9333333333333333;75;75;70;75;75;0;75;0
dk;incremental;True;1;15;69;302;0.9130434782608695;0.9130434782608695;0.9130434782608695;0.9130434782608695;0.9130434782608695;69;69;63;69;69;0;69;0
dk;incremental;True;1;16;72;302;0.9305555555555556;0.9305555555555556;0.9305555555555556;0.9305555555555556;0.9305555555555556;72;72;67;72;72;0;72;0
dk;incremental;True;1;17;63;302;0.9365079365079365;0.9365079365079365;0.9365079365079365;0.9365079365079365;0.9365079365079365;63;63;59;63;63;0;63;0
dk;incremental;True;1;18;79;302;0.9493670886075949;0.9493670886075949;0.9493670886075949;0.9493670886075949;0.9493670886075949;79;79;75;79;79;0;79;0
dk;incremental;True;1;19;69;302;0.9710144927536232;0.9710144927536232;0.9710144927536232;0.9710144927536232;0.9710144927536232;69;69;67;69;69;0;69;0
dk;incremental;True;1;20;54;302;0.9629629629629629;0.9629629629629629;0.9629629629629629;0.9629629629629629;0.9629629629629629;54;54;52;54;54;0;54;0
dk;incremental;True;1;21;71;302;0.9014084507042254;0.9014084507042254;0.9014084507042254;0.9014084507042254;0.9014084507042254;71;71;64;71;71;0;71;0
dk;incremental;True;1;22;83;302;0.9518072289156626;0.9518072289156626;0.9518072289156626;0.9518072289156626;0.9518072289156626;83;83;79;83;83;0;83;0
dk;incremental;True;1;23;62;302;0.967741935483871;0.967741935483871;0.967741935483871;0.967741935483871;0.967741935483871;62;62;60;62;62;0;62;0
dk;incremental;True;1;24;70;302;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;70;70;65;70;70;0;70;0
dk;incremental;True;1;25;72;302;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;72;72;70;72;72;0;72;0
dk;incremental;True;1;26;77;302;0.961038961038961;0.961038961038961;0.961038961038961;0.961038961038961;0.961038961038961;77;77;74;77;77;0;77;0
dk;incremental;True;1;27;50;302;0.94;0.94;0.94;0.94;0.94;50;50;47;50;50;0;50;0
dk;incremental;True;1;28;74;302;0.9594594594594594;0.9594594594594594;0.9594594594594594;0.9594594594594594;0.9594594594594594;74;74;71;74;74;0;74;0
dk;incremental;True;1;29;68;302;0.9264705882352942;0.9264705882352942;0.9264705882352942;0.9264705882352942;0.9264705882352942;68;68;63;68;68;0;68;0
dk;incremental;True;1;30;66;302;0.9696969696969697;0.9696969696969697;0.9696969696969697;0.9696969696969697;0.9696969696969697;66;66;64;66;66;0;66;0
dk;incremental;True;1;31;64;302;0.90625;0.90625;0.90625;0.90625;0.90625;64;64;58;64;64;0;64;0
dk;incremental;True;1;32;65;302;0.9538461538461539;0.9538461538461539;0.9538461538461539;0.9538461538461539;0.9538461538461539;65;65;62;65;65;0;65;0
dk;incremental;True;1;33;63;302;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;63;63;60;63;63;0;63;0
dk;incremental;True;1;34;53;302;0.9622641509433962;0.9622641509433962;0.9622641509433962;0.9622641509433962;0.9622641509433962;53;53;51;53;53;0;53;0
dk;incremental;True;1;35;53;302;0.9056603773584906;0.9056603773584906;0.9056603773584906;0.9056603773584906;0.9056603773584906;53;53;48;53;53;0;53;0
dk;incremental;True;1;36;77;302;0.961038961038961;0.961038961038961;0.961038961038961;0.961038961038961;0.961038961038961;77;77;74;77;77;0;77;0
dk;incremental;True;1;37;63;302;0.9682539682539683;0.9682539682539683;0.9682539682539683;0.9682539682539683;0.9682539682539683;63;63;61;63;63;0;63;0
dk;incremental;True;1;38;68;302;0.9411764705882353;0.9411764705882353;0.9411764705882353;0.9411764705882353;0.9411764705882353;68;68;64;68;68;0;68;0
dk;incremental;True;1;39;69;302;0.9565217391304348;0.9565217391304348;0.9565217391304348;0.9565217391304348;0.9565217391304348;69;69;66;69;69;0;69;0
dk;incremental;True;1;40;66;302;0.9848484848484849;0.9848484848484849;0.9848484848484849;0.9848484848484849;0.9848484848484849;66;66;65;66;66;0;66;0
dk;incremental;True;1;41;63;302;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;63;63;56;63;63;0;63;0
dk;incremental;True;1;42;54;302;0.9814814814814815;0.9814814814814815;0.9814814814814815;0.9814814814814815;0.9814814814814815;54;54;53;54;54;0;54;0
dk;incremental;True;1;43;52;302;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231;52;52;48;52;52;0;52;0
dk;incremental;True;1;44;72;302;0.9305555555555556;0.9305555555555556;0.9305555555555556;0.9305555555555556;0.9305555555555556;72;72;67;72;72;0;72;0
dk;incremental;True;1;45;72;302;0.9444444444444444;0.9444444444444444;0.9444444444444444;0.9444444444444444;0.9444444444444444;72;72;68;72;72;0;72;0
dk;incremental;True;1;46;48;302;0.9166666666666666;0.9166666666666666;0.9166666666666666;0.9166666666666666;0.9166666666666666;48;48;44;48;48;0;48;0
dk;incremental;True;1;47;62;302;0.9354838709677419;0.9354838709677419;0.9354838709677419;0.9354838709677419;0.9354838709677419;62;62;58;62;62;0;62;0
dk;incremental;True;1;48;58;302;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;58;58;57;58;58;0;58;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;75;309;0.96;0.96;0.96;0.96;0.96;75;75;72;75;75;0;75;0
dk;incremental;True;1;49;58;302;0.896551724137931;0.896551724137931;0.896551724137931;0.896551724137931;0.896551724137931;58;58;52;58;58;0;58;0
dk;global;True;1;2;62;309;0.9354838709677419;0.9354838709677419;0.9354838709677419;0.9354838709677419;0.9354838709677419;62;62;58;62;62;0;62;0
dk;incremental;True;1;50;73;302;0.9315068493150684;0.9315068493150684;0.9315068493150684;0.9315068493150684;0.9315068493150684;73;73;68;73;73;0;73;0
dk;global;True;1;3;62;309;0.9516129032258065;0.9516129032258065;0.9516129032258065;0.9516129032258065;0.9516129032258065;62;62;59;62;62;0;62;0
dk;incremental;True;1;51;65;302;0.8923076923076924;0.8923076923076924;0.8923076923076924;0.8923076923076924;0.8923076923076924;65;65;58;65;65;0;65;0
dk;global;True;1;4;58;309;0.9482758620689655;0.9482758620689655;0.9482758620689655;0.9482758620689655;0.9482758620689655;58;58;55;58;58;0;58;0
dk;incremental;True;1;52;50;302;0.96;0.96;0.96;0.96;0.96;50;50;48;50;50;0;50;0
dk;global;True;1;5;71;309;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;71;71;70;71;71;0;71;0
dk;incremental;True;1;53;54;302;0.8518518518518519;0.8518518518518519;0.8518518518518519;0.8518518518518519;0.8518518518518519;54;54;46;54;54;0;54;0
dk;global;True;1;6;69;309;0.9565217391304348;0.9565217391304348;0.9565217391304348;0.9565217391304348;0.9565217391304348;69;69;66;69;69;0;69;0
dk;incremental;True;1;54;64;302;0.96875;0.96875;0.96875;0.96875;0.96875;64;64;62;64;64;0;64;0
dk;global;True;1;7;70;309;0.9571428571428572;0.9571428571428572;0.9571428571428572;0.9571428571428572;0.9571428571428572;70;70;67;70;70;0;70;0
dk;incremental;True;1;55;52;302;0.9807692307692307;0.9807692307692307;0.9807692307692307;0.9807692307692307;0.9807692307692307;52;52;51;52;52;0;52;0
dk;global;True;1;8;69;309;0.8985507246376812;0.8985507246376812;0.8985507246376812;0.8985507246376812;0.8985507246376812;69;69;62;69;69;0;69;0
dk;incremental;True;1;56;59;302;0.9661016949152542;0.9661016949152542;0.9661016949152542;0.9661016949152542;0.9661016949152542;59;59;57;59;59;0;59;0
dk;global;True;1;9;67;309;0.9552238805970149;0.9552238805970149;0.9552238805970149;0.9552238805970149;0.9552238805970149;67;67;64;67;67;0;67;0
dk;incremental;True;1;57;74;302;0.9594594594594594;0.9594594594594594;0.9594594594594594;0.9594594594594594;0.9594594594594594;74;74;71;74;74;0;74;0
