infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;63;320;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;63;63;60;63;63;0;63;0
dk;incremental;True;1;2;69;320;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;incremental;True;1;3;46;320;0.9782608695652174;0.9782608695652174;0.9782608695652174;0.9782608695652174;0.9782608695652174;46;46;45;46;46;0;46;0
dk;incremental;True;1;4;72;320;0.9861111111111112;0.9861111111111112;0.9861111111111112;0.9861111111111112;0.9861111111111112;72;72;71;72;72;0;72;0
dk;incremental;True;1;5;63;320;0.9682539682539683;0.9682539682539683;0.9682539682539683;0.9682539682539683;0.9682539682539683;63;63;61;63;63;0;63;0
dk;incremental;True;1;6;65;320;0.9538461538461539;0.9538461538461539;0.9538461538461539;0.9538461538461539;0.9538461538461539;65;65;62;65;65;0;65;0
dk;incremental;True;1;7;63;320;1.0;1.0;1.0;1.0;1.0;63;63;63;63;63;0;63;0
dk;incremental;True;1;8;76;320;0.9736842105263158;0.9736842105263158;0.9736842105263158;0.9736842105263158;0.9736842105263158;76;76;74;76;76;0;76;0
dk;incremental;True;1;9;61;320;0.9672131147540983;0.9672131147540983;0.9672131147540983;0.9672131147540983;0.9672131147540983;61;61;59;61;61;0;61;0
dk;incremental;True;1;10;72;320;0.9861111111111112;0.9861111111111112;0.9861111111111112;0.9861111111111112;0.9861111111111112;72;72;71;72;72;0;72;0
dk;incremental;True;1;11;55;320;0.9636363636363636;0.9636363636363636;0.9636363636363636;0.9636363636363636;0.9636363636363636;55;55;53;55;55;0;55;0
dk;incremental;True;1;12;74;320;1.0;1.0;1.0;1.0;1.0;74;74;74;74;74;0;74;0
dk;incremental;True;1;13;68;320;0.9705882352941176;0.9705882352941176;0.9705882352941176;0.9705882352941176;0.9705882352941176;68;68;66;68;68;0;68;0
dk;incremental;True;1;14;70;320;1.0;1.0;1.0;1.0;1.0;70;70;70;70;70;0;70;0
dk;incremental;True;1;15;75;320;0.9866666666666667;0.9866666666666667;0.9866666666666667;0.9866666666666668;0.9866666666666668;75;75;74;75;75;0;75;0
dk;incremental;True;1;16;61;320;0.9672131147540983;0.9672131147540983;0.9672131147540983;0.9672131147540983;0.9672131147540983;61;61;59;61;61;0;61;0
dk;incremental;True;1;17;68;320;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;68;68;67;68;68;0;68;0
dk;incremental;True;1;18;71;320;0.971830985915493;0.971830985915493;0.971830985915493;0.971830985915493;0.971830985915493;71;71;69;71;71;0;71;0
dk;incremental;True;1;19;71;320;1.0;1.0;1.0;1.0;1.0;71;71;71;71;71;0;71;0
dk;incremental;True;1;20;64;320;1.0;1.0;1.0;1.0;1.0;64;64;64;64;64;0;64;0
dk;incremental;True;1;21;61;320;0.9836065573770492;0.9836065573770492;0.9836065573770492;0.9836065573770492;0.9836065573770492;61;61;60;61;61;0;61;0
dk;incremental;True;1;22;50;320;1.0;1.0;1.0;1.0;1.0;50;50;50;50;50;0;50;0
dk;incremental;True;1;23;65;320;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;65;65;64;65;65;0;65;0
dk;incremental;True;1;24;63;320;0.9841269841269841;0.9841269841269841;0.9841269841269841;0.9841269841269841;0.9841269841269841;63;63;62;63;63;0;63;0
dk;incremental;True;1;25;73;320;1.0;1.0;1.0;1.0;1.0;73;73;73;73;73;0;73;0
dk;incremental;True;1;26;66;320;0.9696969696969697;0.9696969696969697;0.9696969696969697;0.9696969696969697;0.9696969696969697;66;66;64;66;66;0;66;0
dk;incremental;True;1;27;79;320;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;79;79;78;79;79;0;79;0
dk;incremental;True;1;28;49;320;1.0;1.0;1.0;1.0;1.0;49;49;49;49;49;0;49;0
dk;incremental;True;1;29;64;320;0.96875;0.96875;0.96875;0.96875;0.96875;64;64;62;64;64;0;64;0
dk;incremental;True;1;30;64;320;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;incremental;True;1;31;77;320;0.974025974025974;0.974025974025974;0.974025974025974;0.974025974025974;0.974025974025974;77;77;75;77;77;0;77;0
dk;incremental;True;1;32;59;320;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;59;59;58;59;59;0;59;0
dk;incremental;True;1;33;64;320;0.953125;0.953125;0.953125;0.953125;0.953125;64;64;61;64;64;0;64;0
dk;incremental;True;1;34;61;320;1.0;1.0;1.0;1.0;1.0;61;61;61;61;61;0;61;0
dk;incremental;True;1;35;66;320;0.9393939393939394;0.9393939393939394;0.9393939393939394;0.9393939393939394;0.9393939393939394;66;66;62;66;66;0;66;0
dk;incremental;True;1;36;53;320;0.9811320754716981;0.9811320754716981;0.9811320754716981;0.9811320754716981;0.9811320754716981;53;53;52;53;53;0;53;0
dk;incremental;True;1;37;72;320;0.9861111111111112;0.9861111111111112;0.9861111111111112;0.9861111111111112;0.9861111111111112;72;72;71;72;72;0;72;0
dk;incremental;True;1;38;48;320;1.0;1.0;1.0;1.0;1.0;48;48;48;48;48;0;48;0
dk;incremental;True;1;39;67;320;1.0;1.0;1.0;1.0;1.0;67;67;67;67;67;0;67;0
dk;incremental;True;1;40;51;320;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;51;51;50;51;51;0;51;0
dk;incremental;True;1;41;60;320;0.9833333333333333;0.9833333333333333;0.9833333333333333;0.9833333333333333;0.9833333333333333;60;60;59;60;60;0;60;0
dk;incremental;True;1;42;58;320;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;58;58;57;58;58;0;58;0
dk;incremental;True;1;43;66;320;0.9848484848484849;0.9848484848484849;0.9848484848484849;0.9848484848484849;0.9848484848484849;66;66;65;66;66;0;66;0
dk;incremental;True;1;44;72;320;1.0;1.0;1.0;1.0;1.0;72;72;72;72;72;0;72;0
dk;incremental;True;1;45;59;320;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;0.9830508474576272;59;59;58;59;59;0;59;0
dk;incremental;True;1;46;55;320;0.9454545454545454;0.9454545454545454;0.9454545454545454;0.9454545454545454;0.9454545454545454;55;55;52;55;55;0;55;0
dk;incremental;True;1;47;71;320;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;0.9859154929577465;71;71;70;71;71;0;71;0
dk;incremental;True;1;48;58;320;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;0.9827586206896551;58;58;57;58;58;0;58;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;63;320;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;63;63;60;63;63;0;63;0
dk;incremental;True;1;49;67;320;0.9850746268656716;0.9850746268656716;0.9850746268656716;0.9850746268656716;0.9850746268656716;67;67;66;67;67;0;67;0
dk;global;True;1;2;69;320;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;incremental;True;1;50;61;320;1.0;1.0;1.0;1.0;1.0;61;61;61;61;61;0;61;0
