infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;51;312;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;51;51;50;51;51;0;51;0
dk;incremental;True;1;2;45;312;0.9555555555555556;0.9555555555555556;0.9555555555555556;0.9555555555555556;0.9555555555555556;45;45;43;45;45;0;45;0
dk;incremental;True;1;3;67;312;0.9104477611940298;0.9104477611940298;0.9104477611940298;0.9104477611940298;0.9104477611940298;67;67;61;67;67;0;67;0
dk;incremental;True;1;4;56;312;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;56;56;52;56;56;0;56;0
dk;incremental;True;1;5;63;312;0.9365079365079365;0.9365079365079365;0.9365079365079365;0.9365079365079365;0.9365079365079365;63;63;59;63;63;0;63;0
dk;incremental;True;1;6;66;312;0.9545454545454546;0.9545454545454546;0.9545454545454546;0.9545454545454546;0.9545454545454546;66;66;63;66;66;0;66;0
dk;incremental;True;1;7;53;312;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;53;53;50;53;53;0;53;0
dk;incremental;True;1;8;65;312;0.9692307692307692;0.984375;0.984375;0.9767441860465116;0.9767441860465116;64;64;63;65;65;1;64;0
dk;incremental;True;1;9;60;312;0.95;0.95;0.95;0.9500000000000001;0.9500000000000001;60;60;57;60;60;0;60;0
dk;incremental;True;1;10;60;312;0.9;0.9;0.9;0.9;0.9;60;60;54;60;60;0;60;0
dk;incremental;True;1;11;65;312;0.9230769230769231;0.9375;0.9375;0.9302325581395349;0.9302325581395349;64;64;60;65;65;1;64;0
dk;incremental;True;1;12;66;312;0.9696969696969697;0.9846153846153847;0.9846153846153847;0.9770992366412214;0.9770992366412214;65;65;64;66;66;1;65;0
dk;incremental;True;1;13;62;312;0.8870967741935484;0.8870967741935484;0.8870967741935484;0.8870967741935484;0.8870967741935484;62;62;55;62;62;0;62;0
dk;incremental;True;1;14;71;312;0.9295774647887324;0.9295774647887324;0.9295774647887324;0.9295774647887324;0.9295774647887324;71;71;66;71;71;0;71;0
dk;incremental;True;1;15;63;312;0.9206349206349206;0.9206349206349206;0.9206349206349206;0.9206349206349206;0.9206349206349206;63;63;58;63;63;0;63;0
dk;incremental;True;1;16;68;312;0.9705882352941176;0.9705882352941176;0.9705882352941176;0.9705882352941176;0.9705882352941176;68;68;66;68;68;0;68;0
dk;incremental;True;1;17;72;312;0.9444444444444444;0.9444444444444444;0.9444444444444444;0.9444444444444444;0.9444444444444444;72;72;68;72;72;0;72;0
dk;incremental;True;1;18;59;312;0.9322033898305084;0.9322033898305084;0.9322033898305084;0.9322033898305084;0.9322033898305084;59;59;55;59;59;0;59;0
dk;incremental;True;1;19;65;312;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231;65;65;60;65;65;0;65;0
dk;incremental;True;1;20;54;312;1.0;1.0;1.0;1.0;1.0;54;54;54;54;54;0;54;0
dk;incremental;True;1;21;58;312;0.9310344827586207;0.9310344827586207;0.9310344827586207;0.9310344827586207;0.9310344827586207;58;58;54;58;58;0;58;0
dk;incremental;True;1;22;64;312;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;incremental;True;1;23;61;312;0.9836065573770492;0.9836065573770492;0.9836065573770492;0.9836065573770492;0.9836065573770492;61;61;60;61;61;0;61;0
dk;incremental;True;1;24;78;312;0.9358974358974359;0.9358974358974359;0.9358974358974359;0.9358974358974359;0.9358974358974359;78;78;73;78;78;0;78;0
dk;incremental;True;1;25;65;312;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;65;65;64;65;65;0;65;0
dk;incremental;True;1;26;69;312;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;incremental;True;1;27;65;312;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;0.9846153846153847;65;65;64;65;65;0;65;0
dk;incremental;True;1;28;53;312;0.9245283018867925;0.9245283018867925;0.9245283018867925;0.9245283018867925;0.9245283018867925;53;53;49;53;53;0;53;0
dk;incremental;True;1;29;73;312;0.958904109589041;0.958904109589041;0.958904109589041;0.958904109589041;0.958904109589041;73;73;70;73;73;0;73;0
dk;incremental;True;1;30;78;312;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231;78;78;72;78;78;0;78;0
dk;incremental;True;1;31;78;312;0.8846153846153846;0.8846153846153846;0.8846153846153846;0.8846153846153846;0.8846153846153846;78;78;69;78;78;0;78;0
dk;incremental;True;1;32;74;312;0.918918918918919;0.918918918918919;0.918918918918919;0.918918918918919;0.918918918918919;74;74;68;74;74;0;74;0
dk;incremental;True;1;33;71;312;0.9154929577464789;0.9154929577464789;0.9154929577464789;0.9154929577464789;0.9154929577464789;71;71;65;71;71;0;71;0
dk;incremental;True;1;34;54;312;0.9629629629629629;0.9629629629629629;0.9629629629629629;0.9629629629629629;0.9629629629629629;54;54;52;54;54;0;54;0
dk;incremental;True;1;35;66;312;0.8939393939393939;0.8939393939393939;0.8939393939393939;0.8939393939393939;0.8939393939393939;66;66;59;66;66;0;66;0
dk;incremental;True;1;36;64;312;0.96875;0.96875;0.96875;0.96875;0.96875;64;64;62;64;64;0;64;0
dk;incremental;True;1;37;71;312;0.9295774647887324;0.9295774647887324;0.9295774647887324;0.9295774647887324;0.9295774647887324;71;71;66;71;71;0;71;0
dk;incremental;True;1;38;63;312;0.9682539682539683;0.9682539682539683;0.9682539682539683;0.9682539682539683;0.9682539682539683;63;63;61;63;63;0;63;0
dk;incremental;True;1;39;60;312;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.9333333333333333;60;60;56;60;60;0;60;0
dk;incremental;True;1;40;63;312;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;63;63;60;63;63;0;63;0
dk;incremental;True;1;41;68;312;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;68;68;60;68;68;0;68;0
dk;incremental;True;1;42;69;312;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;0.9855072463768116;69;69;68;69;69;0;69;0
dk;incremental;True;1;43;77;312;0.948051948051948;0.948051948051948;0.948051948051948;0.948051948051948;0.948051948051948;77;77;73;77;77;0;77;0
dk;incremental;True;1;44;59;312;0.9322033898305084;0.9322033898305084;0.9322033898305084;0.9322033898305084;0.9322033898305084;59;59;55;59;59;0;59;0
dk;incremental;True;1;45;67;312;0.9552238805970149;0.9552238805970149;0.9552238805970149;0.9552238805970149;0.9552238805970149;67;67;64;67;67;0;67;0
dk;incremental;True;1;46;57;312;0.8596491228070176;0.8596491228070176;0.8596491228070176;0.8596491228070176;0.8596491228070176;57;57;49;57;57;0;57;0
dk;incremental;True;1;47;69;312;0.9130434782608695;0.9130434782608695;0.9130434782608695;0.9130434782608695;0.9130434782608695;69;69;63;69;69;0;69;0
dk;incremental;True;1;48;61;312;0.9672131147540983;0.9672131147540983;0.9672131147540983;0.9672131147540983;0.9672131147540983;61;61;59;61;61;0;61;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;51;317;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;51;51;50;51;51;0;51;0
dk;incremental;True;1;49;64;312;0.96875;0.96875;0.96875;0.96875;0.96875;64;64;62;64;64;0;64;0
dk;global;True;1;2;45;317;0.9111111111111111;0.9111111111111111;0.9111111111111111;0.9111111111111111;0.9111111111111111;45;45;41;45;45;0;45;0
dk;incremental;True;1;50;53;312;0.8490566037735849;0.8490566037735849;0.8490566037735849;0.8490566037735849;0.8490566037735849;53;53;45;53;53;0;53;0
dk;global;True;1;3;67;317;0.9104477611940298;0.9104477611940298;0.9104477611940298;0.9104477611940298;0.9104477611940298;67;67;61;67;67;0;67;0
dk;incremental;True;1;51;75;312;0.9466666666666667;0.9466666666666667;0.9466666666666667;0.9466666666666667;0.9466666666666667;75;75;71;75;75;0;75;0
