infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
all;incremental;True;1;1;324;293;0.9696969696969697;0.9846153846153847;0.9846153846153847;0.9770992366412214;0.9770992366412214;65;65;64;66;66;1;65;0
all;incremental;True;1;2;324;293;0.9538461538461539;0.9841269841269841;0.9841269841269841;0.96875;0.96875;63;63;62;65;65;2;63;0
all;incremental;True;1;3;324;293;0.9848484848484849;0.9848484848484849;0.9848484848484849;0.9848484848484849;0.9848484848484849;66;66;65;66;66;0;66;0
all;incremental;True;1;4;324;293;0.9714285714285714;0.9714285714285714;0.9714285714285714;0.9714285714285714;0.9714285714285714;70;70;68;70;70;0;70;0
all;incremental;True;1;5;324;293;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;72;72;70;72;72;0;72;0
all;incremental;True;1;6;324;293;0.9824561403508771;0.9824561403508771;0.9824561403508771;0.9824561403508771;0.9824561403508771;57;57;56;57;57;0;57;0
all;incremental;True;1;7;324;293;0.9852941176470589;1.0;1.0;0.9925925925925926;0.9925925925925926;67;67;67;68;68;1;67;0
all;incremental;True;1;8;324;293;0.9655172413793104;1.0;1.0;0.9824561403508771;0.9824561403508771;56;56;56;58;58;2;56;0
all;incremental;True;1;9;324;293;0.9552238805970149;1.0;1.0;0.9770992366412213;0.9770992366412213;64;64;64;67;67;3;64;0
all;incremental;True;1;10;324;293;0.9733333333333334;0.9864864864864865;0.9864864864864865;0.9798657718120806;0.9798657718120806;74;74;73;75;75;1;74;0
all;incremental;True;1;11;324;293;0.9850746268656716;1.0;1.0;0.9924812030075187;0.9924812030075187;66;66;66;67;67;1;66;0
all;incremental;True;1;12;324;293;1.0;1.0;1.0;1.0;1.0;54;54;54;54;54;0;54;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
all;global;True;1;1;324;323;0.9848484848484849;1.0;1.0;0.9923664122137404;0.9923664122137404;65;65;65;66;66;1;65;0
all;incremental;True;1;13;324;293;0.9701492537313433;1.0;1.0;0.9848484848484849;0.9848484848484849;65;65;65;67;67;2;65;0
all;global;True;1;2;324;323;0.9846153846153847;1.0;1.0;0.9922480620155039;0.9922480620155039;64;64;64;65;65;1;64;0
all;incremental;True;1;14;324;293;0.9861111111111112;0.9861111111111112;0.9861111111111112;0.9861111111111112;0.9861111111111112;72;72;71;72;72;0;72;0
all;global;True;1;3;324;323;1.0;1.0;1.0;1.0;1.0;66;66;66;66;66;0;66;0
all;incremental;True;1;15;324;293;0.9846153846153847;1.0;1.0;0.9922480620155039;0.9922480620155039;64;64;64;65;65;1;64;0
all;global;True;1;4;324;323;0.9857142857142858;0.9857142857142858;0.9857142857142858;0.9857142857142858;0.9857142857142858;70;70;69;70;70;0;70;0
all;incremental;True;1;16;324;293;0.9605263157894737;0.9864864864864865;0.9864864864864865;0.9733333333333333;0.9733333333333333;74;74;73;76;76;2;74;0
all;global;True;1;5;324;323;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;72;72;70;72;72;0;72;0
all;incremental;True;1;17;324;293;0.9873417721518988;1.0;1.0;0.9936305732484078;0.9936305732484078;78;78;78;79;79;1;78;0
all;global;True;1;6;324;323;0.9824561403508771;0.9824561403508771;0.9824561403508771;0.9824561403508771;0.9824561403508771;57;57;56;57;57;0;57;0
all;incremental;True;1;18;324;293;0.975609756097561;1.0;1.0;0.9876543209876543;0.9876543209876543;80;80;80;82;82;2;80;0
all;global;True;1;7;324;323;0.9710144927536232;1.0;1.0;0.9852941176470589;0.9852941176470589;67;67;67;69;69;2;67;0
all;incremental;True;1;19;324;293;0.9841269841269841;1.0;1.0;0.9919999999999999;0.9919999999999999;62;62;62;63;63;1;62;0
all;global;True;1;8;324;323;0.9655172413793104;1.0;1.0;0.9824561403508771;0.9824561403508771;56;56;56;58;58;2;56;0
all;incremental;True;1;20;324;293;0.9649122807017544;1.0;1.0;0.9821428571428572;0.9821428571428572;55;55;55;57;57;2;55;0
all;incremental;True;1;21;324;293;0.9821428571428571;1.0;1.0;0.9909909909909909;0.9909909909909909;55;55;55;56;56;1;55;0
all;global;True;1;9;324;323;0.9552238805970149;1.0;1.0;0.9770992366412213;0.9770992366412213;64;64;64;67;67;3;64;0
all;incremental;True;1;22;324;293;0.9848484848484849;1.0;1.0;0.9923664122137404;0.9923664122137404;65;65;65;66;66;1;65;0
all;global;True;1;10;324;323;0.9733333333333334;0.9864864864864865;0.9864864864864865;0.9798657718120806;0.9798657718120806;74;74;73;75;75;1;74;0
all;incremental;True;1;23;324;293;0.9571428571428572;0.9852941176470589;0.9852941176470589;0.9710144927536232;0.9710144927536232;68;68;67;70;70;2;68;0
all;global;True;1;11;324;323;0.9850746268656716;1.0;1.0;0.9924812030075187;0.9924812030075187;66;66;66;67;67;1;66;0
all;incremental;True;1;24;324;293;0.9428571428571428;0.9705882352941176;0.9705882352941176;0.9565217391304348;0.9565217391304348;68;68;66;70;70;2;68;0
all;global;True;1;12;324;323;1.0;1.0;1.0;1.0;1.0;54;54;54;54;54;0;54;0
all;incremental;True;1;25;324;293;0.9838709677419355;1.0;1.0;0.991869918699187;0.991869918699187;61;61;61;62;62;1;61;0
all;global;True;1;13;324;323;0.9701492537313433;1.0;1.0;0.9848484848484849;0.9848484848484849;65;65;65;67;67;2;65;0
all;incremental;True;1;26;324;293;1.0;1.0;1.0;1.0;1.0;55;55;55;55;55;0;55;0
all;global;True;1;14;324;323;1.0;1.0;1.0;1.0;1.0;72;72;72;72;72;0;72;0
all;incremental;True;1;27;324;293;1.0;1.0;1.0;1.0;1.0;63;63;63;63;63;0;63;0
all;global;True;1;15;324;323;0.9696969696969697;1.0;1.0;0.9846153846153847;0.9846153846153847;64;64;64;66;66;2;64;0
all;incremental;True;1;28;324;293;0.9705882352941176;0.9850746268656716;0.9850746268656716;0.9777777777777777;0.9777777777777777;67;67;66;68;68;1;67;0
all;global;True;1;16;324;323;0.9473684210526315;0.972972972972973;0.972972972972973;0.9599999999999999;0.9599999999999999;74;74;72;76;76;2;74;0
all;incremental;True;1;29;324;293;1.0;1.0;1.0;1.0;1.0;64;64;64;64;64;0;64;0
all;global;True;1;17;324;323;1.0;1.0;1.0;1.0;1.0;78;78;78;78;78;0;78;0
all;incremental;True;1;30;324;293;0.9272727272727272;1.0;1.0;0.9622641509433962;0.9622641509433962;51;51;51;55;55;4;51;0
all;global;True;1;18;324;323;0.975609756097561;1.0;1.0;0.9876543209876543;0.9876543209876543;80;80;80;82;82;2;80;0
all;incremental;True;1;31;324;293;0.9620253164556962;0.987012987012987;0.987012987012987;0.9743589743589742;0.9743589743589742;77;77;76;79;79;2;77;0
all;global;True;1;19;324;323;0.9841269841269841;1.0;1.0;0.9919999999999999;0.9919999999999999;62;62;62;63;63;1;62;0
all;incremental;True;1;32;324;293;0.9577464788732394;1.0;1.0;0.9784172661870503;0.9784172661870503;68;68;68;71;71;3;68;0
all;global;True;1;20;324;323;0.9649122807017544;1.0;1.0;0.9821428571428572;0.9821428571428572;55;55;55;57;57;2;55;0
all;incremental;True;1;33;324;293;0.9861111111111112;1.0;1.0;0.993006993006993;0.993006993006993;71;71;71;72;72;1;71;0
all;global;True;1;21;324;323;0.9821428571428571;1.0;1.0;0.9909909909909909;0.9909909909909909;55;55;55;56;56;1;55;0
all;incremental;True;1;34;324;293;0.9516129032258065;0.9833333333333333;0.9833333333333333;0.9672131147540983;0.9672131147540983;60;60;59;62;62;2;60;0
all;incremental;True;1;35;324;293;0.9841269841269841;1.0;1.0;0.9919999999999999;0.9919999999999999;62;62;62;63;63;1;62;0
all;global;True;1;22;324;323;0.9848484848484849;1.0;1.0;0.9923664122137404;0.9923664122137404;65;65;65;66;66;1;65;0
all;incremental;True;1;36;324;293;0.9838709677419355;1.0;1.0;0.991869918699187;0.991869918699187;61;61;61;62;62;1;61;0
all;global;True;1;23;324;323;0.9571428571428572;0.9852941176470589;0.9852941176470589;0.9710144927536232;0.9710144927536232;68;68;67;70;70;2;68;0
all;incremental;True;1;37;324;293;0.9696969696969697;0.9846153846153847;0.9846153846153847;0.9770992366412214;0.9770992366412214;65;65;64;66;66;1;65;0
all;global;True;1;24;324;323;0.9428571428571428;0.9705882352941176;0.9705882352941176;0.9565217391304348;0.9565217391304348;68;68;66;70;70;2;68;0
all;incremental;True;1;38;324;293;0.9558823529411765;1.0;1.0;0.9774436090225563;0.9774436090225563;65;65;65;68;68;3;65;0
all;global;True;1;25;324;323;0.9838709677419355;1.0;1.0;0.991869918699187;0.991869918699187;61;61;61;62;62;1;61;0
all;incremental;True;1;39;324;293;0.9516129032258065;0.9833333333333333;0.9833333333333333;0.9672131147540983;0.9672131147540983;60;60;59;62;62;2;60;0
all;global;True;1;26;324;323;1.0;1.0;1.0;1.0;1.0;55;55;55;55;55;0;55;0
all;incremental;True;1;40;324;293;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
all;global;True;1;27;324;323;1.0;1.0;1.0;1.0;1.0;63;63;63;63;63;0;63;0
all;incremental;True;1;41;324;293;0.9852941176470589;1.0;1.0;0.9925925925925926;0.9925925925925926;67;67;67;68;68;1;67;0
all;global;True;1;28;324;323;0.9705882352941176;0.9850746268656716;0.9850746268656716;0.9777777777777777;0.9777777777777777;67;67;66;68;68;1;67;0
all;incremental;True;1;42;324;293;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;63;63;60;63;63;0;63;0
all;global;True;1;29;324;323;0.9846153846153847;1.0;1.0;0.9922480620155039;0.9922480620155039;64;64;64;65;65;1;64;0
all;incremental;True;1;43;324;293;0.984375;1.0;1.0;0.9921259842519685;0.9921259842519685;63;63;63;64;64;1;63;0
all;incremental;True;1;44;324;293;0.9516129032258065;0.9833333333333333;0.9833333333333333;0.9672131147540983;0.9672131147540983;60;60;59;62;62;2;60;0
all;global;True;1;30;324;323;0.9272727272727272;1.0;1.0;0.9622641509433962;0.9622641509433962;51;51;51;55;55;4;51;0
all;incremental;True;1;45;324;293;0.9838709677419355;0.9838709677419355;0.9838709677419355;0.9838709677419355;0.9838709677419355;62;62;61;62;62;0;62;0
all;global;True;1;31;324;323;0.9620253164556962;0.987012987012987;0.987012987012987;0.9743589743589742;0.9743589743589742;77;77;76;79;79;2;77;0
all;incremental;True;1;46;324;293;0.9705882352941176;0.9850746268656716;0.9850746268656716;0.9777777777777777;0.9777777777777777;67;67;66;68;68;1;67;0
all;global;True;1;32;324;323;0.9577464788732394;1.0;1.0;0.9784172661870503;0.9784172661870503;68;68;68;71;71;3;68;0
all;incremental;True;1;47;324;293;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;57;57;54;57;57;0;57;0
all;global;True;1;33;324;323;0.9861111111111112;1.0;1.0;0.993006993006993;0.993006993006993;71;71;71;72;72;1;71;0
all;incremental;True;1;48;324;293;0.967741935483871;1.0;1.0;0.9836065573770492;0.9836065573770492;60;60;60;62;62;2;60;0
all;global;True;1;34;324;323;0.9516129032258065;0.9833333333333333;0.9833333333333333;0.9672131147540983;0.9672131147540983;60;60;59;62;62;2;60;0
all;incremental;True;1;49;324;293;0.9310344827586207;0.9642857142857143;0.9642857142857143;0.9473684210526316;0.9473684210526316;56;56;54;58;58;2;56;0
all;global;True;1;35;324;323;0.9841269841269841;1.0;1.0;0.9919999999999999;0.9919999999999999;62;62;62;63;63;1;62;0
all;incremental;True;1;50;324;293;1.0;1.0;1.0;1.0;1.0;56;56;56;56;56;0;56;0
all;global;True;1;36;324;323;0.9838709677419355;1.0;1.0;0.991869918699187;0.991869918699187;61;61;61;62;62;1;61;0
all;incremental;True;1;51;324;293;0.9833333333333333;1.0;1.0;0.9915966386554621;0.9915966386554621;59;59;59;60;60;1;59;0
all;global;True;1;37;324;323;0.9848484848484849;1.0;1.0;0.9923664122137404;0.9923664122137404;65;65;65;66;66;1;65;0
all;incremental;True;1;52;324;293;0.958904109589041;0.9859154929577465;0.9859154929577465;0.9722222222222222;0.9722222222222222;71;71;70;73;73;2;71;0
all;global;True;1;38;324;323;0.9848484848484849;1.0;1.0;0.9923664122137404;0.9923664122137404;65;65;65;66;66;1;65;0
all;incremental;True;1;53;324;293;0.9811320754716981;1.0;1.0;0.9904761904761905;0.9904761904761905;52;52;52;53;53;1;52;0
all;global;True;1;39;324;323;0.9516129032258065;0.9833333333333333;0.9833333333333333;0.9672131147540983;0.9672131147540983;60;60;59;62;62;2;60;0
all;incremental;True;1;54;324;293;0.9833333333333333;1.0;1.0;0.9915966386554621;0.9915966386554621;59;59;59;60;60;1;59;0
all;incremental;True;1;55;324;293;0.9746835443037974;1.0;1.0;0.9871794871794872;0.9871794871794872;77;77;77;79;79;2;77;0
all;global;True;1;40;324;323;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
all;incremental;True;1;56;324;293;1.0;1.0;1.0;1.0;1.0;65;65;65;65;65;0;65;0
all;global;True;1;41;324;323;0.9852941176470589;1.0;1.0;0.9925925925925926;0.9925925925925926;67;67;67;68;68;1;67;0
all;incremental;True;1;57;324;293;1.0;1.0;1.0;1.0;1.0;60;60;60;60;60;0;60;0
all;global;True;1;42;324;323;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;63;63;60;63;63;0;63;0
all;incremental;True;1;58;324;293;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
all;global;True;1;43;324;323;0.984375;1.0;1.0;0.9921259842519685;0.9921259842519685;63;63;63;64;64;1;63;0
all;incremental;True;1;59;324;293;0.9649122807017544;1.0;1.0;0.9821428571428572;0.9821428571428572;55;55;55;57;57;2;55;0
all;global;True;1;44;324;323;0.9516129032258065;0.9833333333333333;0.9833333333333333;0.9672131147540983;0.9672131147540983;60;60;59;62;62;2;60;0
all;incremental;True;1;60;324;293;0.96875;1.0;1.0;0.9841269841269841;0.9841269841269841;62;62;62;64;64;2;62;0
all;global;True;1;45;324;323;0.9838709677419355;0.9838709677419355;0.9838709677419355;0.9838709677419355;0.9838709677419355;62;62;61;62;62;0;62;0
all;incremental;True;1;61;324;293;0.96;0.9863013698630136;0.9863013698630136;0.9729729729729729;0.9729729729729729;73;73;72;75;75;2;73;0
all;global;True;1;46;324;323;0.9705882352941176;0.9850746268656716;0.9850746268656716;0.9777777777777777;0.9777777777777777;67;67;66;68;68;1;67;0
all;incremental;True;1;62;324;293;1.0;1.0;1.0;1.0;1.0;58;58;58;58;58;0;58;0
all;global;True;1;47;324;323;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;57;57;54;57;57;0;57;0
all;incremental;True;1;63;324;293;0.96;1.0;1.0;0.9795918367346939;0.9795918367346939;48;48;48;50;50;2;48;0
all;incremental;True;1;64;324;293;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;68;68;67;68;68;0;68;0
all;global;True;1;48;324;323;0.967741935483871;1.0;1.0;0.9836065573770492;0.9836065573770492;60;60;60;62;62;2;60;0
all;incremental;True;1;65;324;293;0.967741935483871;1.0;1.0;0.9836065573770492;0.9836065573770492;60;60;60;62;62;2;60;0
all;global;True;1;49;324;323;0.9310344827586207;0.9642857142857143;0.9642857142857143;0.9473684210526316;0.9473684210526316;56;56;54;58;58;2;56;0
all;incremental;True;1;66;324;293;0.9714285714285714;1.0;1.0;0.9855072463768115;0.9855072463768115;68;68;68;70;70;2;68;0
all;global;True;1;50;324;323;1.0;1.0;1.0;1.0;1.0;56;56;56;56;56;0;56;0
all;incremental;True;1;67;324;293;0.9833333333333333;0.9833333333333333;0.9833333333333333;0.9833333333333333;0.9833333333333333;60;60;59;60;60;0;60;0
all;global;True;1;51;324;323;0.9833333333333333;1.0;1.0;0.9915966386554621;0.9915966386554621;59;59;59;60;60;1;59;0
all;incremental;True;1;68;324;293;1.0;1.0;1.0;1.0;1.0;55;55;55;55;55;0;55;0
all;global;True;1;52;324;323;0.958904109589041;0.9859154929577465;0.9859154929577465;0.9722222222222222;0.9722222222222222;71;71;70;73;73;2;71;0
all;incremental;True;1;69;324;293;0.9753086419753086;1.0;1.0;0.9875;0.9875;79;79;79;81;81;2;79;0
all;global;True;1;53;324;323;0.9811320754716981;1.0;1.0;0.9904761904761905;0.9904761904761905;52;52;52;53;53;1;52;0
all;incremental;True;1;70;324;293;0.972972972972973;1.0;1.0;0.9863013698630138;0.9863013698630138;72;72;72;74;74;2;72;0
all;global;True;1;54;324;323;0.9833333333333333;1.0;1.0;0.9915966386554621;0.9915966386554621;59;59;59;60;60;1;59;0
all;incremental;True;1;71;324;293;0.9836065573770492;1.0;1.0;0.9917355371900827;0.9917355371900827;60;60;60;61;61;1;60;0
all;global;True;1;55;324;323;0.9746835443037974;1.0;1.0;0.9871794871794872;0.9871794871794872;77;77;77;79;79;2;77;0
all;incremental;True;1;72;324;293;1.0;1.0;1.0;1.0;1.0;57;57;57;57;57;0;57;0
all;global;True;1;56;324;323;1.0;1.0;1.0;1.0;1.0;65;65;65;65;65;0;65;0
all;incremental;True;1;73;324;293;0.96875;0.9841269841269841;0.9841269841269841;0.9763779527559054;0.9763779527559054;63;63;62;64;64;1;63;0
all;global;True;1;57;324;323;1.0;1.0;1.0;1.0;1.0;60;60;60;60;60;0;60;0
all;incremental;True;1;74;324;293;0.9615384615384616;0.974025974025974;0.974025974025974;0.967741935483871;0.967741935483871;77;77;75;78;78;1;77;0
all;global;True;1;58;324;323;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
all;incremental;True;1;75;324;293;0.9841269841269841;1.0;1.0;0.9919999999999999;0.9919999999999999;62;62;62;63;63;1;62;0
all;global;True;1;59;324;323;0.9649122807017544;1.0;1.0;0.9821428571428572;0.9821428571428572;55;55;55;57;57;2;55;0
all;incremental;True;1;76;324;293;0.9705882352941176;1.0;1.0;0.9850746268656716;0.9850746268656716;66;66;66;68;68;2;66;0
all;global;True;1;60;324;323;0.96875;1.0;1.0;0.9841269841269841;0.9841269841269841;62;62;62;64;64;2;62;0
all;incremental;True;1;77;324;293;0.9838709677419355;1.0;1.0;0.991869918699187;0.991869918699187;61;61;61;62;62;1;61;0
all;global;True;1;61;324;323;0.96;0.9863013698630136;0.9863013698630136;0.9729729729729729;0.9729729729729729;73;73;72;75;75;2;73;0
all;incremental;True;1;78;324;293;0.96;1.0;1.0;0.9795918367346939;0.9795918367346939;72;72;72;75;75;3;72;0
all;incremental;True;1;79;324;293;0.9506172839506173;0.9871794871794872;0.9871794871794872;0.9685534591194969;0.9685534591194969;78;78;77;81;81;3;78;0
all;global;True;1;62;324;323;1.0;1.0;1.0;1.0;1.0;58;58;58;58;58;0;58;0
all;incremental;True;1;80;324;293;0.9855072463768116;1.0;1.0;0.9927007299270074;0.9927007299270074;68;68;68;69;69;1;68;0
all;global;True;1;63;324;323;0.9411764705882353;1.0;1.0;0.9696969696969697;0.9696969696969697;48;48;48;51;51;3;48;0
all;incremental;True;1;81;324;293;0.9710144927536232;1.0;1.0;0.9852941176470589;0.9852941176470589;67;67;67;69;69;2;67;0
all;global;True;1;64;324;323;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;0.9852941176470589;68;68;67;68;68;0;68;0
all;incremental;True;1;82;324;293;0.971830985915493;1.0;1.0;0.9857142857142858;0.9857142857142858;69;69;69;71;71;2;69;0
all;global;True;1;65;324;323;0.967741935483871;1.0;1.0;0.9836065573770492;0.9836065573770492;60;60;60;62;62;2;60;0
all;incremental;True;1;83;324;293;0.972972972972973;1.0;1.0;0.9863013698630138;0.9863013698630138;72;72;72;74;74;2;72;0
all;global;True;1;66;324;323;0.9714285714285714;1.0;1.0;0.9855072463768115;0.9855072463768115;68;68;68;70;70;2;68;0
all;incremental;True;1;84;324;293;0.975;1.0;1.0;0.9873417721518987;0.9873417721518987;78;78;78;80;80;2;78;0
all;global;True;1;67;324;323;0.9833333333333333;0.9833333333333333;0.9833333333333333;0.9833333333333333;0.9833333333333333;60;60;59;60;60;0;60;0
