batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12
1;1.4121856689453125;0.5726191401481628;0.7077262997627258;0.6717923283576965;0.7063583731651306;2.3682591915130615;1.428555965423584;0.7133824825286865;-2.1425853519526453e-41;0.8220679759979248;2.8392162322998047;2.4894022941589355;0.9638543128967285
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12
1;0.827647864818573;0.7231857180595398;0.8907254934310913;0.9225493669509888;0.905460774898529;2.840167999267578;1.6701997518539429;0.799270510673523;-2.1425853519526453e-41;0.9047054648399353;3.325887441635132;2.9447264671325684;0.9076976180076599
2;1.1423568725585938;0.4548126757144928;0.3752322196960449;0.5294935703277588;0.48447978496551514;3.127901792526245;1.4793654680252075;0.5741631984710693;-2.1425853519526453e-41;0.5145491361618042;3.1671011447906494;3.073329448699951;1.0392357110977173
2;0.5955147743225098;0.5361915230751038;0.48481032252311707;0.6282983422279358;0.5751160979270935;3.4524617195129395;1.662544846534729;0.5856162309646606;-2.1425853519526453e-41;0.5713629126548767;3.610671281814575;3.418841600418091;0.9069875478744507
3;0.942905843257904;0.43471553921699524;0.4008953273296356;0.5000305771827698;0.4347306191921234;3.236755847930908;1.3713366985321045;0.5070197582244873;-2.1425853519526453e-41;0.466199666261673;3.2443764209747314;3.26365327835083;0.9120094776153564
3;0.5338974595069885;0.4817655086517334;0.47043535113334656;0.5654789805412292;0.50579434633255;3.4605624675750732;1.5286215543746948;0.5454017519950867;-2.1425853519526453e-41;0.5073830485343933;3.5793395042419434;3.49930477142334;0.8367332220077515
4;0.8033694624900818;0.4356711506843567;0.4214499890804291;0.4470822811126709;0.4475330412387848;3.248910903930664;1.369165301322937;0.49914053082466125;-2.1425853519526453e-41;0.464626669883728;3.304532289505005;3.459583282470703;0.8587962985038757
4;0.5213330984115601;0.47804930806159973;0.4777592718601227;0.5155760049819946;0.505889892578125;3.3954660892486572;1.478442668914795;0.5328468084335327;-2.1425853519526453e-41;0.5039528012275696;3.5280113220214844;3.6671762466430664;0.8220565319061279
5;0.7260965704917908;0.43279632925987244;0.43032604455947876;0.46378135681152344;0.4549088478088379;3.3093435764312744;1.3883731365203857;0.5262722373008728;-2.1425853519526453e-41;0.4841287434101105;3.2694358825683594;3.4330129623413086;0.8149389028549194
5;0.5254228711128235;0.4695039689540863;0.4963502287864685;0.5133435726165771;0.5000447630882263;3.42838978767395;1.4759000539779663;0.5475949048995972;-2.1425853519526453e-41;0.5132301449775696;3.490060567855835;3.6511878967285156;0.8069776296615601
6;0.6950749158859253;0.4268745183944702;0.4157736897468567;0.4210144579410553;0.4147748351097107;3.389101266860962;1.3783305883407593;0.4683622717857361;-2.1425853519526453e-41;0.44254618883132935;3.307617664337158;3.473507881164551;0.7258989810943604
6;0.5085023045539856;0.4510369896888733;0.46937644481658936;0.47001913189888;0.4666667878627777;3.5005650520324707;1.4612114429473877;0.5003008246421814;-2.1425853519526453e-41;0.4636323153972626;3.5142533779144287;3.6607017517089844;0.7460277080535889
7;0.6403597593307495;0.4080633521080017;0.40970370173454285;0.40685781836509705;0.3895568549633026;3.4174654483795166;1.3517979383468628;0.45468100905418396;-2.1425853519526453e-41;0.4197481870651245;3.3515098094940186;3.495300054550171;0.7855124473571777
7;0.49908867478370667;0.42932793498039246;0.4497911334037781;0.4531204104423523;0.43855753540992737;3.4959468841552734;1.4317870140075684;0.48855286836624146;-2.1425853519526453e-41;0.43339648842811584;3.4913742542266846;3.648942470550537;0.7421037554740906
8;0.6073099374771118;0.4187566041946411;0.38542547821998596;0.3876214027404785;0.37416863441467285;3.4633703231811523;1.307928204536438;0.4407234191894531;-2.1425853519526453e-41;0.4299122095108032;3.284947633743286;3.486621379852295;0.748068630695343
8;0.5010953545570374;0.4439429044723511;0.432310551404953;0.4410884976387024;0.4256073832511902;3.5432944297790527;1.3896692991256714;0.4768655598163605;-2.1425853519526453e-41;0.4527797996997833;3.4165992736816406;3.6206462383270264;0.7151943445205688
9;0.5628032088279724;0.4104279577732086;0.40727499127388;0.3722482919692993;0.3569014072418213;3.4373841285705566;1.323493242263794;0.41654643416404724;-2.1425853519526453e-41;0.41763174533843994;3.2898507118225098;3.465454578399658;0.6842467784881592
9;0.4913467764854431;0.43431419134140015;0.44225072860717773;0.419898122549057;0.4064750075340271;3.5383622646331787;1.4002684354782104;0.45193979144096375;-2.1425853519526453e-41;0.44126468896865845;3.4190948009490967;3.6162915229797363;0.6802689433097839
10;0.5194420218467712;0.3898904025554657;0.3687702417373657;0.3555309474468231;0.35189610719680786;3.439340114593506;1.306181788444519;0.4045262038707733;-2.1425853519526453e-41;0.39363449811935425;3.348207473754883;3.536813259124756;0.6811342239379883
10;0.4608554244041443;0.4090869128704071;0.3972529470920563;0.3905503451824188;0.3850662410259247;3.5121231079101562;1.3731025457382202;0.43788594007492065;-2.1425853519526453e-41;0.41655001044273376;3.4294440746307373;3.6474452018737793;0.6636388897895813
11;0.5554612874984741;0.4009040892124176;0.4086211621761322;0.39750900864601135;0.4002330005168915;3.396986961364746;1.3309602737426758;0.4325266182422638;-2.1425853519526453e-41;0.3994625210762024;3.372312545776367;3.5259029865264893;0.7175130844116211
11;0.5123640894889832;0.4294602870941162;0.44488659501075745;0.43222489953041077;0.43124622106552124;3.462796211242676;1.4046820402145386;0.46215519309043884;-2.1425853519526453e-41;0.430045485496521;3.4642434120178223;3.6327579021453857;0.7148227691650391
12;0.576253354549408;0.43795183300971985;0.4419262111186981;0.42282113432884216;0.43101397156715393;3.3925883769989014;1.353869915008545;0.47710728645324707;-2.1425853519526453e-41;0.4609187841415405;3.4310009479522705;3.5025436878204346;0.7261005640029907
12;0.5350797772407532;0.4577399492263794;0.46589145064353943;0.44945335388183594;0.4578370451927185;3.46846604347229;1.414342999458313;0.49879440665245056;-2.1425853519526453e-41;0.48113033175468445;3.5192527770996094;3.6141560077667236;0.7056958079338074
13;0.5577060580253601;0.42455440759658813;0.44593626260757446;0.4144729971885681;0.4380887448787689;3.3655123710632324;1.3652955293655396;0.47230151295661926;-2.1425853519526453e-41;0.4614042341709137;3.4561338424682617;3.5415046215057373;0.6910809874534607
13;0.5311626195907593;0.45273157954216003;0.4726768732070923;0.44586697220802307;0.4670349657535553;3.4317209720611572;1.423473596572876;0.49553990364074707;-2.1425853519526453e-41;0.4819261431694031;3.532871723175049;3.6245951652526855;0.679282546043396
14;0.5696157813072205;0.4453376829624176;0.4538211524486542;0.43395841121673584;0.4572805166244507;3.426642417907715;1.3776775598526;0.4855343997478485;-2.1425853519526453e-41;0.4741431772708893;3.4078309535980225;3.521059513092041;0.741378128528595
14;0.5487901568412781;0.4725712239742279;0.475372314453125;0.4625263214111328;0.4850133955478668;3.4858007431030273;1.436143398284912;0.5061418414115906;-2.1425853519526453e-41;0.4927034080028534;3.4818668365478516;3.601059913635254;0.7381566166877747
15;0.6003251671791077;0.4784071147441864;0.49490535259246826;0.4779553711414337;0.4886041581630707;3.419870615005493;1.3928534984588623;0.5277807116508484;-2.1425853519526453e-41;0.5147975087165833;3.413351058959961;3.566391944885254;0.7930698394775391
15;0.572211503982544;0.4909193813800812;0.506596565246582;0.49678197503089905;0.5069798231124878;3.469066858291626;1.444346308708191;0.5345473289489746;-2.1425853519526453e-41;0.5222356915473938;3.477933645248413;3.630326747894287;0.7728151082992554
16;0.5716900825500488;0.46431246399879456;0.48327961564064026;0.47172805666923523;0.47945529222488403;3.4894397258758545;1.4128421545028687;0.5219035148620605;-2.1425853519526453e-41;0.5071293115615845;3.4373631477355957;3.533750534057617;0.7736136317253113
16;0.5608112812042236;0.4855172336101532;0.5044606328010559;0.5002225041389465;0.5065720677375793;3.5261032581329346;1.4686346054077148;0.5408750772476196;-2.1425853519526453e-41;0.5251796245574951;3.48935866355896;3.58272123336792;0.7701902985572815
17;0.6112877130508423;0.4852260947227478;0.49808138608932495;0.4966278076171875;0.49671876430511475;3.526995897293091;1.4568500518798828;0.5349017977714539;-2.1425853519526453e-41;0.5154806971549988;3.5290768146514893;3.5748825073242188;0.7639449238777161
17;0.5868721008300781;0.49380210041999817;0.5053420662879944;0.5095252394676208;0.5082361102104187;3.5273263454437256;1.4881947040557861;0.5419684648513794;-2.1425853519526453e-41;0.5233792066574097;3.537381887435913;3.5788981914520264;0.7525245547294617
18;0.6108697056770325;0.5080140829086304;0.5172916054725647;0.5272521376609802;0.5176826119422913;3.4940342903137207;1.5220558643341064;0.5693671107292175;-2.1425853519526453e-41;0.5213672518730164;3.5542633533477783;3.5912439823150635;0.819674015045166
18;0.5873315930366516;0.512141764163971;0.5196977853775024;0.5312002301216125;0.5211939811706543;3.4887149333953857;1.5387309789657593;0.5694555044174194;-2.1425853519526453e-41;0.5241599678993225;3.558887004852295;3.5873606204986572;0.799655556678772
19;0.5809317827224731;0.49510470032691956;0.4802737534046173;0.4942990839481354;0.4940301179885864;3.468151569366455;1.4982057809829712;0.5411513447761536;-2.1425853519526453e-41;0.4939728081226349;3.561347246170044;3.584339141845703;0.7875041961669922
19;0.5562557578086853;0.49791866540908813;0.4817865490913391;0.496700644493103;0.4956388473510742;3.4730136394500732;1.509631633758545;0.5428435206413269;-2.1425853519526453e-41;0.4972938895225525;3.5667920112609863;3.5855371952056885;0.770020604133606
20;0.5568333864212036;0.48037946224212646;0.4695280194282532;0.5048715472221375;0.4939257502555847;3.4674887657165527;1.4800032377243042;0.5216975212097168;-2.1425853519526453e-41;0.47854459285736084;3.543095350265503;3.537813425064087;0.7442960143089294
20;0.5363948345184326;0.48092854022979736;0.4715951979160309;0.505256175994873;0.4953464865684509;3.474766254425049;1.4880090951919556;0.5230172872543335;-2.1425853519526453e-41;0.48029768466949463;3.550520658493042;3.5430288314819336;0.7330222725868225
21;0.5737289786338806;0.4986359477043152;0.4925253987312317;0.5370451211929321;0.5235278606414795;3.461790084838867;1.500026822090149;0.5320678949356079;-2.1425853519526453e-41;0.5310034155845642;3.5486679077148438;3.530524492263794;0.811401903629303
21;0.5606530904769897;0.49615055322647095;0.4920530617237091;0.5353037118911743;0.5234206914901733;3.460867404937744;1.506813883781433;0.5305047631263733;-2.1425853519526453e-41;0.5277153253555298;3.554732084274292;3.5314321517944336;0.8009114861488342
22;0.5396339297294617;0.46674099564552307;0.46442079544067383;0.5237494111061096;0.5253782868385315;3.473083257675171;1.5059033632278442;0.5054869055747986;-2.1425853519526453e-41;0.49689388275146484;3.5200045108795166;3.525402307510376;0.8004586696624756
22;0.5348044037818909;0.4653712511062622;0.466789186000824;0.5239080786705017;0.5283119678497314;3.476456642150879;1.512442946434021;0.5061231255531311;-2.1425853519526453e-41;0.49720409512519836;3.5173866748809814;3.5270779132843018;0.7928709983825684
23;0.5362577438354492;0.46671369671821594;0.47190263867378235;0.5075430870056152;0.5160017013549805;3.497056245803833;1.4945257902145386;0.5225118398666382;-2.1425853519526453e-41;0.48222342133522034;3.5164904594421387;3.524252414703369;0.7651019096374512
23;0.529521644115448;0.4650012254714966;0.47282838821411133;0.5072191953659058;0.5179522633552551;3.4980645179748535;1.498399257659912;0.5205493569374084;-2.1425853519526453e-41;0.4811455309391022;3.512373447418213;3.527498960494995;0.758820116519928
